"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62786","LOGIN-04 invalid email format@gmail.com","webkit","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","616","SEARCH-05 Verify Image VIsible","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","1414","CHECKOUT-07 Verify subscription text available","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","430","SHIPPING-11 Verify products button visible","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1433","SHIPPING-14 Verify cart button enabled","firefox","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","63036","AUTH-02 Mandatory fields validation","webkit","2026-06-03","broken","2026-06-03","Signup Tests","Authentication/signup.spec.js","",""
"","17","API-04 Validate Post ID","webkit","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","452","HOME-07 Verify cart button visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","428","SHIPPING-04 Verify delivery address section locator created","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1415","CHECKOUT-03 Verify footer visible","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","1427","CHECKOUT-01 Verify products button visible","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","43","API-17 Validate Array Response","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","1391","SHIPPING-06 Verify comment box locator created","firefox","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","866","SEARCH-07 Verify Text VIsible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","1426","LOGIN-01 valid Login","firefox","2026-06-03","failed","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","870","SEARCH-14 Verify product details page opens","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","894","HOME-09 Verify Video Tutorials button visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","62523","LOGIN-04 invalid email formatrahul.com","chromium","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","62923","LOGIN-04 invalid email formatrahul@gmail","webkit","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","16","API-03 Validate Response Header Exists","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","871","CART-15 Verify page loaded successfully","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1501","SEARCH-14 Verify product details page opens","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","14","API-13 Validate User ID Exists","webkit","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","887","SHIPPING-07 Verify place order button locator created","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
